District Number,District,School,Test-takers: 2012,Test-takers: 2013,Test-takers: Change
26111,Ansonia,Ansonia High School,118,104,-12
46111,Avon,Avon High School,254,243,-4
76111,Berlin,Berlin High School,216,220,2
96111,Bethel,Bethel High School,200,190,-5
116111,Bloomfield,Bloomfield High School,116,130,12
116211,Bloomfield,Big Picture High School,14,30,114
126111,Bolton,Bolton High School,62,70,13
146111,Branford,Branford High School,196,213,9
156111,Bridgeport,Bassick High School,105,122,16
156211,Bridgeport,Central Magnet High School,346,305,-12
156311,Bridgeport,Warren Harding High School,155,113,-27
176111,Bristol,Bristol Center High School,210,200,-5
176211,Bristol,Bristol Eastern High School,212,190,-10
186111,Brookfield,Brookfield High School,227,219,-4
236111,Canton,Canton High School,106,96,-9
256111,Cheshire,Cheshire High School,367,326,-11
276111,Clinton,The Morgan School,86,104,21
286111,Colchester,Bacon Academy,200,194,-3
326111,Coventry,Coventry High School,81,90,11
336111,Cromwell,Cromwell High School,106,105,-1
346111,Danbury,Danbury High School,447,470,5
356111,Darien,Darien High School,295,307,4
376111,Derby,Derby High School,59,46,-22
406111,East Granby,East Granby High School,45,51,13
416111,East Haddam,Nathan Hale-Ray High School,78,72,-8
426111,East Hampton,East Hampton High School,120,102,-15
436211,East Hartford,East Hartford High School,262,256,-2
436311,East Hartford,Connecticut International Baccalaureate Academy,33,32,-3
446111,East Haven,East Haven High School,134,145,8
456111,East Lyme,East Lyme High School,210,238,13
476111,East Windsor,East Windsor High School,62,62,0
486111,Ellington,Ellington High School,151,151,0
496111,Enfield,Enfield High School,115,101,-12
496211,Enfield,Enrico Fermi High School,178,165,-7
516011,Fairfield,Fairfield Ludlowe High School,317,323,2
516211,Fairfield,Fairfield Warde High School,275,255,-7
526111,Farmington,Farmington Senior High School,269,282,5
546111,Glastonbury,Glastonbury High School,459,508,11
566111,Granby,Granby Memorial High School,173,181,5
576111,Greenwich,Greenwich High School,559,604,8